,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
PTS_EIIA_2,.,0.9295880846141132,0.6459567136857962,0.6263914851341027,0.7980769230769231,0.4230769230769231,0.0,0.5803240681767416,1.0
BAG,.,0.9854776070071062,0.9510067836761076,0.9942282639370381,0.6634615384615384,0.6057692307692307,0.0,0.8081351582982602,0.9245514672323817
mutT,.,0.9533858039993389,0.4409927856143005,0.38967810485795945,0.7403846153846154,0.46153846153846156,0.0,0.4521420961895524,0.9148962701928546
gag_p17,.,0.9828230870930426,0.8657262840529778,0.8618077776351484,0.625,0.5480769230769231,0.0,0.7153192546474237,0.8993582859804495
Bacteriofer,.,0.8875289208395307,0.99332400129213,0.8907459330340576,0.6634615384615384,0.46153846153846156,0.0,0.7191798080603672,0.8961594450059756
IF3,.,0.8083374648818378,0.7130397329600514,0.6179182348508131,0.7843137254901961,0.47058823529411764,0.0,0.571851315652409,0.8627888019714889
phoslip,.,1.0,0.74060514697965,0.5594241235406121,0.6057692307692307,0.5096153846153846,0.0,0.578073020965676,0.8616175000128546
hormone,.,0.9054288547347545,0.6670076450952948,0.8356399912094881,0.6346153846153846,0.5096153846153846,0.0,0.6182168023912036,0.859443910384649
Elicitin,.,0.9108721698892744,0.7453429525142679,0.6254200441507746,0.7156862745098039,0.5490196078431373,0.0,0.6164672196520321,0.85942670196603
Peptidase_S21,.,0.8641753429185258,0.5379024442769474,0.4968457261599406,0.6923076923076923,0.40384615384615385,0.0,0.4548099505723105,0.8557669512111046
Dwarfin,.,0.844447198810114,0.4960159362549803,0.7113406285310679,0.7307692307692307,0.5192307692307693,0.0,0.5447570190858926,0.8508894249548986
CBM_20,.,0.9018447364072054,0.630343490901258,0.47341379854452265,0.7254901960784313,0.5098039215686274,0.0,0.5268959487483271,0.8506865806819095
HSP20,.,0.949564121632788,0.5017766770754811,0.6529756642325293,0.7019230769230769,0.6346153846153846,0.0,0.5855335682456496,0.8467011291314844
ACPS,.,0.9291026276648487,0.6153763325078068,0.6605009376049393,0.75,0.6730769230769231,0.0,0.6404302500271344,0.8444609314943322
Fz,.,0.9312923483721699,0.5512006029934327,0.5825587291896207,0.6730769230769231,0.5480769230769231,0.0,0.5401828589768174,0.8405419097596305
ribonuclease_T2,.,0.876611303916708,0.5943254010983098,0.6321226557895553,0.6538461538461539,0.4519230769230769,0.0,0.517492186138587,0.8397710151642235
MATH,.,0.9085068583705173,0.37740928179175254,0.34260356969436223,0.7019230769230769,0.4807692307692308,0.0,0.40089170848353184,0.8319178422552856
RhoGEF,.,0.8453561394810776,0.776677075481857,0.7056214027915292,0.6923076923076923,0.5096153846153846,0.0,0.6115513905896255,0.8238980767406047
ENTH,.,0.7677863163113535,0.7983740712824405,0.9196206975920777,0.6730769230769231,0.4423076923076923,0.0,0.632544468410794,0.822130057894196
RRF,.,0.8823128408527515,0.5911489178421461,0.6285833180710423,0.7115384615384616,0.5769230769230769,0.0,0.5707690003392951,0.8213204479687792
transketolase_C,.,0.9423339117501239,0.6247981048777864,0.49000462445645604,0.6442307692307693,0.5384615384615384,0.0,0.5265829954595936,0.814637097967479
formyl_transf,.,0.8846988101140307,0.5591687304834724,0.5720674977158601,0.6442307692307693,0.4807692307692308,0.0,0.49758250113795305,0.8134846342100694
Flavin_Reduct,.,0.8991592298793587,0.5339722192311831,0.667019928684831,0.5961538461538461,0.4807692307692308,0.0,0.5081803320390977,0.8100462056303402
urease_gamma,.,0.896318790282598,0.7074943469365771,0.644082567894843,0.7058823529411765,0.6176470588235294,0.0,0.6238230858258145,0.8094657994279263
Ribosomal_L4,.,0.8410180135514791,0.6780445784429844,0.6433157752530719,0.7019230769230769,0.5480769230769231,0.0,0.5771828595677391,0.7966459574469811
LMWPc,.,0.9060589158816724,0.7838914611822997,0.7423064393196734,0.7211538461538461,0.41346153846153844,0.6603236820093332,0.8161269020096837,0.7951027069557449
Colicin_Pyocin,.,0.7864505866798877,0.6751911273823628,0.7050681994382767,0.7058823529411765,0.5,0.0,0.5655156438100225,0.7910736755414002
hormone_rec,.,0.802863163113535,0.6554861634542918,0.7283814111468205,0.6346153846153846,0.4423076923076923,0.0,0.5335696024597645,0.7879154065458299
STAS,.,0.939514129895885,0.8028426833207706,0.900166568895756,0.7115384615384616,0.5288461538461539,0.6603236820093332,0.9088039362055919,0.7877775296563203
CASc,.,0.8115910593290365,0.5926025627220847,0.440608151385654,0.7019230769230769,0.4423076923076923,0.0,0.45303731689171034,0.787591066178253
UCR_14kD,.,0.9635597421913733,0.7315602455044696,0.850279396313884,0.6057692307692307,0.7115384615384616,0.0,0.7092410935790033,0.785656785440661
Flavoprotein,.,0.9129276152702032,0.7834607515882406,0.727903851043256,0.7403846153846154,0.4326923076923077,0.7581877979608387,0.8537685935578266,0.7787945334150734
Jacalin,.,0.9227607007106264,0.43975449553138857,0.546691032402867,0.75,0.46153846153846156,0.6603236820093332,0.6853006632299168,0.7713342023668434
Topoisomerase_I,.,0.8152164931416295,0.5892107246688931,0.7795028128621246,0.6538461538461539,0.5480769230769231,0.0,0.5694043660456551,0.7688779620019485
MIP,.,0.8303379606676582,0.6880585765047919,0.569230497399781,0.6730769230769231,0.5192307692307693,0.0,0.5383439561163144,0.7671129001628834
SRP19,.,0.8854011733597753,0.6742758694949942,0.6776211479981942,0.6634615384615384,0.6538461538461539,0.0,0.6188908701853365,0.7585657763383157
C2,.,0.9329759543877044,0.6114461074620426,0.5893374334907673,0.7403846153846154,0.46153846153846156,0.7581877979608387,0.7770293907644918,0.7557627996604062
RNase_U2,.,0.9497293835729631,0.3989447614945627,0.42900689425066596,0.7692307692307693,0.5192307692307693,0.6603236820093332,0.669288673782922,0.7553536696119557
dNK,.,0.8019129069575277,0.6936039625282654,0.45592968214862595,0.6634615384615384,0.4423076923076923,0.0,0.4730319520268187,0.7535864361106196
SRP54M,.,0.8992728474632292,0.6699149348551744,0.8437883161266229,0.6078431372549019,0.6764705882352942,0.0,0.6607327267246961,0.7514069752398376
capsid_n,.,0.9598413485374317,0.7483579196726614,0.7884853423227223,0.6826923076923077,0.5096153846153846,0.7581877979608387,0.8806369515068445,0.7493824202750582
PARP,.,0.8162906957527681,0.4503607192850233,0.3791045007709911,0.6826923076923077,0.4807692307692308,0.0,0.4003068057249623,0.7479054766317195
Peptidase_C15,.,0.8180259461246076,0.6951114461074621,0.5356481113869795,0.7980769230769231,0.40384615384615385,0.6603236820093332,0.7234123836251426,0.7427900714194551
CUB,.,0.9552759874400926,0.5994400775277261,0.6984912104696313,0.75,0.5192307692307693,0.8880501893948454,0.8698771153550655,0.7426299771908205
rnasemam,.,0.9468476284911584,0.5958867233767626,0.5129407552749045,0.7307692307692307,0.47115384615384615,0.7581877979608387,0.7541312583524264,0.7406026704080181
hip,.,0.6702611138654767,0.4130505006999028,0.5491319582298827,0.7549019607843137,0.43137254901960786,0.0,0.40309285105993187,0.738024374140331
