,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Ald_Xan_dh_2,.,0.9477968877968879,0.7782385138497183,0.6498386155284096,0.7436893203883496,0.2970873786407767,0.7226797950609722,0.7509348784466804,1.0
COX1,.,1.0,1.0,1.0,0.7076023391812866,0.37037037037037035,0.9294137759192894,1.0,0.9936657158564914
urease,.,0.9496933296933295,0.839484159893836,0.799686580394412,0.7398058252427184,0.312621359223301,0.8829563743575958,0.8613764070079949,0.9620838746488946
AMP-binding,.,0.9597342797342797,0.8659914579532211,0.8539078266421434,0.6932038834951456,0.36699029126213595,0.8829563743575958,0.8896487791284498,0.874136342400154
Transpeptidase,.,0.6057657657657657,0.4884723834798522,0.492513625897367,0.8362573099415205,0.27485380116959063,0.0,0.33734483367220147,0.8725893530589265
chorismate_bind,.,0.9239494039494038,0.8483164703930925,0.9537676272275474,0.7115009746588694,0.3645224171539961,0.9294137759192894,0.920833438931834,0.8611143714034117
AFOR,.,0.904095004095004,0.9259827500414581,0.762853289788003,0.7165048543689321,0.2757281553398058,0.9087710378132579,0.8526790464388803,0.8584217175921548
aldedh,.,0.8997251797251796,0.8427496268037754,0.7834871931689674,0.7173489278752436,0.341130604288499,0.8023392233509882,0.8219340155052989,0.8459085074683446
Bacterial_PQQ,.,0.9132168532168531,0.759547603250945,0.6991553889717381,0.7281553398058253,0.2796116504854369,0.9631508639459583,0.8093257473823988,0.8395501646010715
hemocyan,.,0.9324943124943125,0.6900501741582288,0.7756962140060665,0.7203883495145631,0.34563106796116505,0.9477003898419945,0.8291586627275074,0.832034561468493
PGI,.,0.9348038948038948,0.8705423785038926,0.8574446200795046,0.7300970873786408,0.40194174757281553,0.9298648454757965,0.9188892220881753,0.8276564162763308
Glu_syn_central,.,0.9088870688870687,0.6996599767789011,0.8257885421022352,0.7300970873786408,0.341747572815534,0.9631508639459583,0.8456196017297252,0.8227016277954727
Gly_radical,.,0.8583092183092182,0.8790636921545758,0.8317264554547423,0.7067961165048544,0.24271844660194175,0.9631508639459583,0.8491871093298343,0.8034245642213481
